Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
W2oyL1Uyj3D2p6l2qutoUg,1607834366,2023-08-03T15:59:21.987Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,350.0
qOui23CqCuN/Zs8ruzRtkg,606091733,2023-08-03T15:58:50.087Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
sVnC3pKJZD4ilfvkkC0G3w,93411698,2023-08-03T15:58:36.660Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780287,💰 5M 💰,Developer Product,Held,2.0,800.0
hjRyIbUspa0awnN7fXqcAw,3626905573,2023-08-03T15:58:36.657Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
PC59MDBuyUG8HNtphHrCQg,1846888369,2023-08-03T15:58:27.983Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
SGY4DihPftQc2Ca5fYZPag,2775841578,2023-08-03T15:58:15.573Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
mm81M5/9Ln9JFaCKeBMt7w,2722610817,2023-08-03T15:56:44.853Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
PXzjym+P9OG2vQdYt9M+IQ,512877441,2023-08-03T15:56:33.650Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
x6D5KRtWWjCjdavguZq66A,1326843400,2023-08-03T15:56:00.143Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
ftUkh0iVfH4L3uRB1QiOVg,1515581956,2023-08-03T15:55:14.103Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
U1OwPGnEsz1r3X8kh51KjQ,1021341284,2023-08-03T15:54:52.820Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
p4lLfADtkqljKJEXIZcfqg,93411698,2023-08-03T15:54:40.403Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780287,💰 5M 💰,Developer Product,Held,2.0,800.0
rkcluQ2CvZz+/WMR8DDYDw,1275891053,2023-08-03T15:53:41.113Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
Xzt8prlnpgewmARL1DNULg,3313263359,2023-08-03T15:53:30.843Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
LMdQ25WSV2770S6//YnrfA,4194837272,2023-08-03T15:53:14.657Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
CLNl9qz4Pb8cC++d4QLp1g,4858365822,2023-08-03T15:52:56.147Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26792384,Spin Again,Developer Product,Held,1.0,40.0
fPA3DXMvfk5WnSnJmFKEkA,4619072317,2023-08-03T15:52:41.873Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
Jj88WnBKXarU1HVEHeKB8g,3588658094,2023-08-03T15:52:23.087Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
P1CXuUB6bVkUD2BYhOrNmQ,1658590899,2023-08-03T15:52:02.025Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
7vjOhLcRpoy40FyunNF7Rg,4830369412,2023-08-03T15:51:29.040Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26792384,Spin Again,Developer Product,Held,1.0,40.0
OPeQxFckAiQcCpbZX8xGbA,366148647,2023-08-03T15:51:25.463Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
G8Hsu902JgHrZDgw5cP0Ig,3332484368,2023-08-03T15:50:43.363Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
jEV36l28Lj6OSkOuOZRldA,2425431659,2023-08-03T15:50:27.967Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26743504,Titan Armor (1 LIFE),Developer Product,Held,1.0,25.0
rJa1C9uyrpEiAZhQiwJJAw,2238264104,2023-08-03T15:49:27.200Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,350.0
zfP2GJt1FU7wAR0pkcYvdw,448784627,2023-08-03T15:48:45.177Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
uZ1t2aBDKxrpW5cKln1gow,3889766607,2023-08-03T15:47:51.707Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
Ycjuq9SJjQQT6td2iTCMXQ,186574344,2023-08-03T15:47:50.130Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,1.0,300.0
Rucp1ldFJYSYcjPWN25BIA,1286246264,2023-08-03T15:47:40.957Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
